Keyword,Match Type,Historical Clicks,Historical CPC,Landing Page
"false ceiling contractors in dubai",phrase,2,AED 7.09,/interior-renovation-company-dubai/
"dubai swimming pool companies",phrase,2,AED 15.68,/interior-renovation-company-dubai/
"interiors companies in dubai",phrase,2,AED 38.73,/interior-renovation-company-dubai/
"renovation of villas in dubai",phrase,2,AED 16.89,/interior-renovation-company-dubai/
"interior companies in uae",phrase,2,AED 21.2,/interior-renovation-company-dubai/
"top renovation companies in dubai",phrase,2,AED 16.09,/interior-renovation-company-dubai/
"al shirawi contracting interiors 26 street dubai",phrase,2,AED 11.46,/interior-renovation-company-dubai/
"pool guys dubai",phrase,2,AED 9.08,/interior-renovation-company-dubai/
"architectural designer dubai",phrase,2,AED 0.57,/interior-renovation-company-dubai/
"beauxteriors design services dubai",phrase,2,AED 22.56,/interior-renovation-company-dubai/
"interior consultants in dubai",phrase,2,AED 12.76,/interior-renovation-company-dubai/
"build swimming pool dubai",phrase,2,AED 20.22,/interior-renovation-company-dubai/
"pool service dubai",phrase,2,AED 30.4,/interior-renovation-company-dubai/
"skypool dubai",phrase,2,AED 14.86,/interior-renovation-company-dubai/
"auraskypool dubai",phrase,2,AED 21.11,/interior-renovation-company-dubai/
"fdc interior dubai",phrase,2,AED 4.24,/interior-renovation-company-dubai/
"swimming pool makers dubai",phrase,2,AED 15.97,/interior-renovation-company-dubai/
"mr construction dubai",phrase,2,AED 17.71,/interior-renovation-company-dubai/
"absolute pools dubai",phrase,2,AED 29.83,/interior-renovation-company-dubai/
"aone swimming pool uae",phrase,2,AED 22.23,/interior-renovation-company-dubai/
"tiger construction dubai",phrase,2,AED 24.11,/interior-renovation-company-dubai/
"villas to buy in dubai",phrase,2,AED 3.87,/interior-renovation-company-dubai/
"aura skypool dubai tickets",phrase,2,AED 14.75,/interior-renovation-company-dubai/
"best swimming pool companies in dubai",exact,23,AED 26.62,/interior-renovation-company-dubai/
"best kitchen companies in dubai",phrase,4,AED 22.64,/interior-renovation-company-dubai/
"best pool companies in dubai",phrase,2,AED 28.57,/interior-renovation-company-dubai/
"how much to build a pool in dubai",exact,5,AED 18.48,/interior-renovation-company-dubai/
"how much does it cost to build a pool in dubai",phrase,4,AED 16.75,/interior-renovation-company-dubai/
"swimming pool price uae",phrase,2,AED 34.71,/interior-renovation-company-dubai/
