Keyword,Match Type,Historical Clicks,Historical CPC,Landing Page
"retail fit out company in dubai",phrase,2,AED 27.77,/renovation/full-villa/
"interior design company in uae",phrase,2,AED 8.42,/renovation/full-villa/
"fitout contractors dubai",phrase,2,AED 30.22,/renovation/full-villa/
"build corp interiors dubai",phrase,2,AED 8.26,/renovation/full-villa/
"fit out companies uae",phrase,2,AED 6.87,/renovation/full-villa/
"dubai fitout companies",phrase,2,AED 12.97,/renovation/full-villa/
"dubai fitout",phrase,2,AED 20.91,/renovation/full-villa/
"brix interiors dubai",phrase,2,AED 7.72,/renovation/full-villa/
"ray fit out & interiors dubai",phrase,2,AED 53.83,/renovation/full-villa/
"fit out uae",phrase,2,AED 17.73,/renovation/full-villa/
"home interior design companies in dubai",phrase,2,AED 37.2,/renovation/full-villa/
"interior fit out contractors in dubai",phrase,2,AED 21.84,/renovation/full-villa/
"list of fit out companies in uae",phrase,2,AED 1.91,/renovation/full-villa/
"home interior design dubai",phrase,2,AED 15.06,/renovation/full-villa/
"tss fitout and interiors dubai",phrase,2,AED 31.68,/renovation/full-villa/
"interior design companies uae",phrase,2,AED 22.48,/renovation/full-villa/
"bw interiors dubai",phrase,2,AED 13.53,/renovation/full-villa/
"horton interiors dubai",phrase,2,AED 17.52,/renovation/full-villa/
"office fit out uae",phrase,2,AED 4.93,/renovation/full-villa/
"spencer interiors dubai",phrase,2,AED 4.42,/renovation/full-villa/
"interior fit out consultants in dubai",phrase,2,AED 17.19,/renovation/full-villa/
"fitout company uae",phrase,2,AED 4.14,/renovation/full-villa/
"greenlines fit out & exhibitions dubai",phrase,2,AED 14.09,/renovation/full-villa/
"interior design companies in dubai silicon oasis",phrase,2,AED 19.41,/renovation/full-villa/
"bhl interior design dubai",phrase,2,AED 37.8,/renovation/full-villa/
"restaurant fit out contractors dubai",phrase,2,AED 12.48,/renovation/full-villa/
"list of interior design companies in dubai pdf",phrase,2,AED 13.22,/renovation/full-villa/
"indian interior design companies in dubai",phrase,2,AED 5.0,/renovation/full-villa/
"top interior fit out company in dubai",phrase,2,AED 34.87,/renovation/full-villa/
"arco interiors dubai",phrase,2,AED 18.98,/renovation/full-villa/
"interior fit out uae",phrase,2,AED 11.23,/renovation/full-villa/
"kandas interiors dubai",phrase,2,AED 4.48,/renovation/full-villa/
"interior company names in dubai",phrase,2,AED 9.79,/renovation/full-villa/
"interior design company in dubai uae",phrase,2,AED 8.43,/renovation/full-villa/
"fit out cost per square metre dubai",phrase,2,AED 14.24,/renovation/full-villa/
"merrit interiors dubai",phrase,2,AED 14.27,/renovation/full-villa/
"creative nest decoration design & fit out dubai",phrase,2,AED 24.28,/renovation/full-villa/
"interior company in dubai list",phrase,2,AED 8.98,/renovation/full-villa/
"fit out contractors in uae",phrase,2,AED 32.45,/renovation/full-villa/
"aura interiors dubai",phrase,2,AED 25.68,/renovation/full-villa/
"fit out manager dubai",phrase,2,AED 11.24,/renovation/full-villa/
"gypsum board ceiling price in dubai",phrase,2,AED 6.21,/renovation/full-villa/
"residential interior design dubai",phrase,2,AED 27.22,/renovation/full-villa/
"fitouts dubai",phrase,2,AED 37.6,/renovation/full-villa/
"gypsum board price dubai",phrase,2,AED 6.58,/renovation/full-villa/
"interior designing companies in dubai",exact,9,AED 14.3,/renovation/full-villa/
"interior design in dubai",exact,8,AED 7.66,/renovation/full-villa/
"interior design firms in dubai",exact,7,AED 10.05,/renovation/full-villa/
"interior designers in dubai",exact,7,AED 7.2,/renovation/full-villa/
"interior designer in dubai",phrase,4,AED 7.93,/renovation/full-villa/
"interior design firm in dubai",phrase,3,AED 18.31,/renovation/full-villa/
"interior designer company dubai",phrase,3,AED 11.15,/renovation/full-villa/
"interior designer company in dubai",phrase,3,AED 6.31,/renovation/full-villa/
"interior design firms dubai",phrase,3,AED 16.14,/renovation/full-villa/
"interior design contractor dubai",phrase,3,AED 17.06,/renovation/full-villa/
"interior designer dubai",phrase,3,AED 8.48,/renovation/full-villa/
"dubai interior decorators",phrase,3,AED 8.89,/renovation/full-villa/
"interior designer companies in dubai",phrase,3,AED 7.8,/renovation/full-villa/
"halo dubai interior design",phrase,2,AED 11.86,/renovation/full-villa/
"dubai interior design",phrase,2,AED 23.31,/renovation/full-villa/
"best interior designers in dubai",phrase,2,AED 6.75,/renovation/full-villa/
"interior designers in uae",phrase,2,AED 64.19,/renovation/full-villa/
"office interior design in dubai",phrase,2,AED 8.78,/renovation/full-villa/
"interior design services in dubai",phrase,2,AED 4.92,/renovation/full-villa/
"dubai office interior design",phrase,2,AED 9.82,/renovation/full-villa/
"luxury interior design in dubai",phrase,2,AED 6.94,/renovation/full-villa/
"dubai interior designers",phrase,2,AED 8.78,/renovation/full-villa/
"decor companies in dubai",phrase,2,AED 7.62,/renovation/full-villa/
